chr	pos	pvalue	maf	conseq
1	2744901	.0034801	.970	0
1	2748635	.0027254	.972	0
1	2779397	.0015923	.914	0
1	2876770	.0042357	.975	0
1	2934868	.0054377	.982	0
1	2990994	.0054066	.607	0
1	2996602	.0085464	.719	0
1	3065568	.00541	.766	0
1	3066761	.0052951	.760	0
1	3072482	.0063942	.759	0
1	3075597	.0057304	.761	0
1	3083712	.0078481	.439	0
1	3084840	.0088816	.669	0
1	3086464	.0081952	.765	0
1	3091587	.0056187	.767	0
1	3094672	.008518	.720	0
1	3095126	.0056622	.767	0
1	3096925	.0068077	.768	0
1	3097051	.0069384	.768	0
1	3098885	.0064929	.559	0
1	3099105	.0086761	.719	0
1	3099138	.0057202	.769	0
1	3099194	.0071436	.442	0
1	3101277	.0018787	.756	0
1	3101722	.0024528	.756	0
1	3101762	.0023892	.756	0
1	3101820	.0025136	.756	0
1	3101863	.0020129	.756	0
1	3105160	.0069224	.745	0
1	3303446	.0040634	.558	0
1	3305016	.0014918	.808	0
1	3305466	.001462	.808	0
1	3308957	.0003869	.808	0
1	3309466	.0003321	.808	0
1	3312031	.0003147	.808	0
1	3312256	.0002886	.808	0
1	3312493	.003493	.969	0
1	3312664	.0008317	.663	0
1	3312963	.0003579	.808	0
1	3313282	.0007181	.661	0
1	3314596	.0003893	.806	0
1	3315186	.0031439	.969	0
1	3315359	.0005854	.683	0
1	3315832	.0003528	.683	0
1	3315985	.0002918	.680	0
1	3316675	.0003539	.683	0
1	3316756	.0003844	.683	0
1	3317135	.0003533	.683	0
1	3317233	.0003057	.809	0
1	3317780	.0006061	.697	0
1	3317887	.0003692	.683	0
1	3318333	.0003228	.809	0
1	3318714	.0003864	.683	0
1	3318842	.0003823	.683	0
1	3320476	.0004318	.861	0
1	3321134	.0002829	.802	0
1	3321715	.0077296	.895	0
1	3321735	.0040276	.966	0
1	3323197	.0050872	.760	0
1	3324433	.0019868	.477	0
1	3325037	.0034622	.487	0
1	3325526	.0016779	.485	0
1	3325581	.0018113	.485	0
1	3325912	.0000905	.866	0
1	3326231	.0092165	.666	0
1	3326510	.000277	.874	0
1	3326640	.0033711	.477	0
1	3326796	.000164	.868	0
1	3327032	.0001353	.868	0
1	3327602	.0026598	.479	0
1	3328659	.0001151	.865	0
1	3329384	.0002247	.866	0
1	3330260	.0001223	.864	0
1	3330677	.0001819	.865	0
1	3330762	.0026836	.472	0
1	3330884	.0001721	.865	0
1	3331733	.001025	.556	0
1	3336200	.0035741	.759	0
1	3341791	.0024026	.792	0
1	3343802	.0037746	.734	0
1	3349900	.0066985	.951	0
1	3827581	.0053969	.058	0
1	4400538	.0098067	.842	0
1	4456133	.0098526	.935	0
1	4654328	.0024633	.007	0
1	4894803	.0006662	.937	0
1	4941410	.0083293	.803	0
1	4943839	.0093495	.817	0
1	4957385	.0073451	.711	0
1	4962999	.0061615	.816	0
1	4973301	.008912	.585	0
1	5004328	.0083309	.530	0
1	5009593	.0059212	.916	0
1	5010119	.0031431	.919	0
1	5010889	.0029415	.919	0
1	5010988	.0083194	.477	0
1	5011290	.0030045	.918	0
1	5011310	.0042816	.916	0
1	5012101	.0086208	.484	0
1	5012108	.0080135	.484	0
1	5012355	.0028472	.908	0
1	5015479	.0068498	.912	0
1	5015676	.0053886	.915	0
1	5016315	.0056965	.914	0
1	5018078	.00817	.912	0
1	5112776	.007791	.985	0
1	5655478	.0046993	.785	0
1	5778649	.0049832	.976	0
1	6850437	.0066691	.794	0
1	7001078	.002326	.755	0
1	7040063	.0070778	.512	0
1	7041175	.0090207	.507	0
1	7041685	.0076192	.507	0
1	7052716	.0079153	.545	0
1	7084106	.0077205	.818	0
1	7088855	.0041358	.525	0
1	7089050	.005796	.523	0
1	7092429	.002881	.535	0
1	7092904	.0008008	.735	0
1	7093213	.0035318	.563	0
1	7093912	.0096092	.943	0
1	7094425	.0058639	.586	0
1	7099660	.0027416	.486	0
1	7101257	.005944	.770	0
1	7102656	.0056078	.770	0
1	7105391	.0073173	.969	0
1	7110510	.0093819	.766	0
1	7164048	.0036814	.959	0
1	7236139	.0073157	.011	0
1	7448725	.0079959	.984	0
1	7538365	.0090037	.955	0
1	7539174	.0086998	.957	0
1	7540677	.008753	.958	0
1	7544283	.007531	.956	0
1	7546527	.009058	.956	0
1	7550554	.0018066	.952	0
1	7552965	.0087747	.957	0
1	7552998	.0044354	.957	0
1	7554028	.0026417	.952	0
1	7556796	.0023243	.951	0
1	7692326	.0047332	.008	0
1	7720880	.0059988	.969	0
1	7826347	.0074259	.834	0
1	7832289	.0087668	.834	0
1	7834858	.0072187	.835	0
1	7836208	.0021466	.907	0
1	7837842	.0089784	.763	0
1	7840926	.0090667	.763	0
1	7841549	.0087585	.835	0
1	7841825	.0024228	.908	0
1	7846092	.0026854	.709	0
1	7848943	.0025342	.904	0
1	7852117	.0028605	.904	0
1	7854555	.0029383	.900	0
1	7857432	.0020917	.903	0
1	7857974	.0020719	.903	0
1	7859317	.0019784	.903	0
1	7861158	.0022262	.906	0
1	7861304	.009235	.632	0
1	7862572	.0099687	.705	0
1	7866915	.0019908	.902	0
1	7869380	.0018213	.903	0
1	7870418	.0018213	.903	0
1	7874975	.0018503	.901	0
1	7879168	.0021094	.904	0
1	7879322	.0006622	.921	0
1	7884403	.0023269	.904	0
1	7887579	.0021815	.904	0
1	7888169	.0024828	.904	0
1	7895278	.0023034	.904	0
1	7897228	.002919	.904	0
1	7907007	.0093044	.655	0
1	7908246	.0075317	.656	0
1	8172826	.0094252	.983	0
1	8249026	.0093378	.970	0
1	8258607	.0096809	.970	0
1	8259618	.0097172	.971	0
1	8259887	.0064661	.968	0
1	8262635	.0099617	.974	0
1	8265434	.0090599	.970	0
1	8266294	.0086964	.971	0
1	8266470	.0087259	.970	0
1	8268178	.0064671	.967	0
1	8272474	.0062831	.971	0
1	8272526	.001523	.699	0
1	8273008	.009371	.679	0
1	8277321	.0023578	.973	0
1	8290082	.0041175	.760	0
1	8375842	.0029616	.544	0
1	8375913	.0021002	.553	0
1	8377828	.0024244	.544	0
1	8378599	.0021896	.574	0
1	8379309	.0017529	.550	0
1	8379448	.0021977	.547	0
1	8379626	.0022379	.547	0
1	8379967	.0054415	.789	0
1	8380123	.0063649	.788	0
1	8380971	.0058073	.761	0
1	8381159	.0053407	.789	0
1	8381276	.0014614	.550	0
1	8381412	.005406	.789	0
1	8382607	.0088049	.759	0
1	8382681	.0022417	.548	0
1	8383469	.000581	.579	0
1	8383778	.0057046	.797	0
1	8385059	.0006772	.578	0
1	8386658	.0063996	.788	0
1	8387463	.0093888	.784	0
1	8389154	.0038187	.749	0
1	8389894	.0098975	.731	0
1	8390051	.0008442	.521	0
1	8390054	.0067882	.748	0
1	8390246	.008241	.733	0
1	8392592	.0027231	.717	0
1	8522553	.0077674	.813	0
1	8528854	.0090453	.813	0
1	8529141	.0095738	.813	0
1	8538302	.0088498	.821	0
1	8538303	.0088477	.821	0
1	8540912	.008559	.813	0
1	8542448	.0058528	.846	0
1	8554696	.0097491	.813	0
1	8556953	.0095612	.813	0
1	8558292	.0082317	.815	0
1	8560366	.0097932	.813	0
1	8573008	.0098435	.811	0
1	8577185	.0090802	.812	0
1	8581015	.0080441	.811	0
1	8596335	.0097744	.812	0
1	8623664	.0095839	.808	0
1	8974005	.0095454	.959	0
1	9131981	.0037718	.861	0
1	9145013	.0068668	.806	0
1	9148939	.0096749	.806	0
1	9149450	.0096508	.804	0
1	9153438	.0090562	.811	0
1	9161550	.0006827	.461	0
1	9161668	.0007366	.461	0
1	9162051	.0009182	.539	0
1	9162185	.0006875	.461	0
1	9162471	.0088194	.682	0
1	9162490	.0004278	.524	0
1	9163308	.0005343	.460	0
1	9163424	.0004327	.461	0
1	9163839	.0005299	.460	0
1	9164133	.0004826	.460	0
1	9164200	.0006907	.540	0
1	9166789	.0004584	.461	0
1	9169028	.0076429	.658	0
1	9169719	.0080112	.655	0
1	9170937	.0047934	.657	0
1	9184812	.0008678	.562	0
1	9191572	.0055344	.555	0
1	9305445	.0041053	.858	0
1	9504335	.008621	.985	0
1	9585733	.0038754	.964	0
1	9602271	.0038615	.964	0
1	9610869	.0039963	.964	0
1	9655630	.0050149	.759	0
1	9670529	.0069165	.987	0
1	9672579	.0048701	.964	0
1	9682631	.008881	.762	0
1	10268967	.0088835	.017	0
1	10273182	.0079649	.020	0
1	10500336	.0081588	.982	0
1	10500337	.0083563	.982	0
1	10652977	.0029618	.899	0
1	10704547	.0094876	.956	0
1	10705860	.008215	.956	0
1	10706661	.0085772	.956	0
1	10710002	.0086501	.956	0
1	10751153	.0059145	.918	0
1	10752356	.0026003	.689	0
1	10859478	.0025781	.900	0
1	10889136	.0026061	.941	0
1	10889473	.0038431	.941	0
1	10889807	.0059371	.942	0
1	10889826	.0041294	.941	0
1	10889892	.0041769	.941	0
1	10889952	.0042095	.941	0
1	10890026	.0047659	.942	0
1	10891323	.0048685	.927	0
1	10916795	.0081896	.988	0
1	11495157	.0060922	.965	0
1	11497379	.0045	.966	0
1	11498299	.005997	.966	0
1	11498498	.0047547	.966	0
1	11498824	.004777	.966	0
1	11520209	.0024825	.807	0
1	11520391	.002665	.807	0
1	11520513	.0021841	.807	0
1	11520653	.0022613	.808	0
1	11520952	.002243	.807	0
1	11703789	.0054466	.975	0
1	11731823	.0080468	.977	0
1	11739038	.0089592	.977	0
1	11744971	.0078763	.977	0
1	11834312	.00019	.987	0
1	11857410	.002816	.697	0
1	11857788	.0045976	.828	0
1	11858550	.0067269	.828	0
1	11860120	.0025722	.716	0
1	11860458	.0055356	.829	0
1	11860683	.0026427	.716	0
1	11864168	.0050125	.823	0
1	11867044	.0026218	.708	0
1	11869515	.0036674	.708	0
1	11869578	.0037724	.708	0
1	11872714	.0041115	.829	0
1	11881320	.0025975	.737	0
1	11890674	.0048516	.822	0
1	11891223	.0015313	.759	0
1	11895667	.0074665	.949	0
1	11897992	.008999	.952	0
1	11899470	.0092177	.952	0
1	11899803	.0078831	.951	0
1	11900142	.0092253	.952	0
1	11900838	.0040933	.829	0
1	11902149	.0087762	.952	0
1	11903015	.0086224	.952	0
1	11904049	.0085229	.952	0
1	11904186	.0090282	.951	0
1	12240676	.0007111	.838	0
1	12240824	.0051019	.781	0
1	12242458	.0034815	.759	0
1	12242793	.0040317	.760	0
1	12242870	.0006336	.836	0
1	12242949	.0030296	.761	0
1	12243274	.008827	.763	0
1	12243377	.0081502	.761	0
1	12245732	.0012607	.838	0
1	12247008	.0013621	.837	0
1	12248503	.0014208	.837	0
1	12251191	.0075793	.816	0
1	12262426	.0032897	.779	0
1	12262690	.004124	.781	0
1	12262792	.0037718	.779	0
1	12266591	.0040588	.800	0
1	12431603	.0099495	.039	0
1	12608240	.0024936	.763	0
1	12608489	.0062883	.690	0
1	12613820	.0045043	.770	0
1	12613871	.0045042	.770	0
1	12614178	.0045401	.770	0
1	12614180	.0044587	.769	0
1	12614403	.0049543	.769	0
1	12619717	.0056207	.773	0
1	12625876	.0029705	.799	0
1	12627325	.000689	.989	0
1	12628471	.0079475	.778	0
1	12628770	.0048072	.584	0
1	12632992	.0020586	.801	0
1	12638345	.0014578	.810	0
1	12639226	.001502	.810	0
1	12640081	.0012504	.810	0
1	12640650	.001345	.810	0
1	12640914	.0014864	.811	0
1	12641758	.0086873	.660	0
1	12644821	.0011556	.828	0
1	12654035	.0027351	.488	0
1	12655203	.0040315	.491	0
1	12657633	.0045332	.520	0
1	12658046	.0055777	.483	0
1	12658064	.0048779	.520	0
1	13832501	.0054432	.319	0
1	13834809	.0086638	.501	0
1	13835010	.0089101	.486	0
1	13840834	.0091219	.495	0
1	13844997	.0017201	.775	0
1	13846461	.0067104	.970	0
1	13848894	.0010339	.797	0
1	13852683	.00275	.771	0
1	13853857	.0032597	.770	0
1	13854167	.0044688	.780	0
1	13857420	.001274	.755	0
1	13858568	.0043001	.768	0
1	13858671	.0036115	.769	0
1	13859504	.0034335	.769	0
1	13860919	.0027393	.893	0
1	13862750	.0030784	.770	0
1	13865932	.0004358	.767	0
1	13865933	.0004782	.767	0
1	13868527	.0053469	.752	0
1	13868774	.0055739	.752	0
1	13883988	.0004406	.795	0
1	13885279	.0067458	.759	0
1	13885520	.0004115	.793	0
1	13885660	.0070878	.762	0
1	13886184	.0050037	.682	0
1	13888752	.0007149	.811	0
1	13890695	.0001161	.778	0
1	13890845	.0002563	.738	0
1	13891044	.000279	.776	0
1	13891508	.000241	.773	0
1	13892399	.0001601	.776	0
1	14218041	.0096668	.988	0
1	14257458	.0024367	.992	0
1	14589573	.0005151	.943	0
1	14590918	.0000745	.951	0
1	14591599	.0000657	.951	0
1	14592705	.000063	.951	0
1	14594575	.0000573	.951	0
1	14600852	.0000741	.951	0
1	14601677	.0000745	.951	0
1	14602646	.0000758	.951	0
1	14603141	.0065119	.975	0
1	14604302	.0000738	.951	0
1	14604519	.0000764	.951	0
1	14607341	.0002579	.945	0
1	14612384	.000567	.936	0
1	14612626	.0000781	.950	0
1	14615321	.0000618	.950	0
1	14616999	.0005643	.936	0
1	14617180	.0005378	.936	0
1	14617774	.000088	.950	0
1	14620369	.0002793	.936	0
1	14620817	.0000493	.950	0
1	14622490	.0000588	.950	0
1	14622556	.0001704	.943	0
1	14622770	.0002135	.943	0
1	14623956	.000045	.950	0
1	14625964	.0010001	.952	0
1	14651867	.0076954	.889	0
1	14775973	.0098234	.980	0
1	14779136	.0089666	.980	0
1	14787747	.0044955	.980	0
1	14824110	.009211	.990	0
1	14841025	.0099511	.045	0
1	15330362	.0086829	.921	0
1	15332890	.0061493	.919	0
1	15333946	.0060806	.916	0
1	15375046	.0086768	.051	0
1	15733376	.0090174	.676	0
1	15733394	.009366	.676	0
1	15807730	.007993	.982	0
1	15843790	.0062096	.982	0
1	15852846	.0050107	.982	0
1	15907908	.0059585	.400	0
1	15908107	.0066364	.515	0
1	15908465	.0080578	.546	0
1	15908486	.0082417	.547	0
1	15908534	.0053114	.542	0
1	15909215	.0077704	.543	0
1	15909239	.0070639	.546	0
1	15909441	.0083573	.548	0
1	15909547	.0078627	.549	0
1	15912413	.0099528	.517	0
1	15912500	.0092016	.522	0
1	15916782	.0044721	.973	0
1	16000037	.008432	.955	0
1	16015454	.0079536	.981	0
1	16023965	.0083047	.981	0
1	16154619	.0098749	.026	0
1	16297923	.0031935	.978	0
1	16361727	.0021455	.110	0
1	16361737	.0058376	.631	0
1	16361748	.0014041	.155	0
1	16367268	.0069549	.138	0
1	16383448	.0024214	.870	0
1	16384656	.0026579	.914	0
1	16385698	.0085755	.897	0
1	16388766	.0006004	.747	0
1	16448037	.0017749	.609	0
1	16448295	.0028996	.711	0
1	16448442	.0018625	.695	0
1	16448622	.0018546	.696	0
1	16449746	.0014556	.722	0
1	16451767	.0026258	.721	0
1	16452201	.0033007	.689	0
1	16452998	.001239	.627	0
1	16453171	.0039025	.710	0
1	16453216	.003846	.710	0
1	16460339	.0053981	.920	0
1	16460840	.005734	.926	0
1	16461833	.0044012	.927	0
1	16463643	.007571	.941	0
1	16472834	.0084932	.932	0
1	16492862	.0016852	.893	0
1	16493516	.0068183	.879	0
1	16494015	.0024241	.905	0
1	16495001	.0049157	.867	0
1	16495094	.005023	.867	0
1	16495108	.0046682	.867	0
1	16495236	.0048747	.864	0
1	16495690	.0048881	.864	0
1	16495702	.0051305	.864	0
1	16495846	.0046715	.865	0
1	16495871	.0050111	.865	0
1	16495914	.0053521	.865	0
1	16495953	.0050269	.865	0
1	16495998	.0049991	.865	0
1	16496299	.0055479	.865	0
1	16497272	.0093478	.533	0
1	16497952	.004842	.813	0
1	16499308	.003626	.859	0
1	16499885	.0059376	.866	0
1	16500985	.0054343	.865	0
1	16501350	.0056143	.865	0
1	16501436	.0057947	.865	0
1	16501649	.0051035	.865	0
1	16501753	.0056225	.865	0
1	16504381	.0086889	.608	0
1	16505320	.0040531	.545	0
1	16505908	.0098227	.604	0
1	16506260	.0069155	.608	0
1	16507265	.0075483	.605	0
1	16507384	.0099953	.601	0
1	16507618	.0060566	.608	0
1	16508059	.0040931	.595	0
1	16508375	.0056937	.608	0
1	16508534	.0054069	.608	0
1	16509029	.0045865	.595	0
1	16509671	.0064363	.594	0
1	16510139	.0060449	.594	0
1	16510798	.0068069	.609	0
1	16510894	.007179	.455	0
1	16511539	.0049066	.595	0
1	16512348	.0054853	.594	0
1	16512586	.0041395	.595	0
1	16512920	.0068193	.607	0
1	16513153	.005837	.593	0
1	16513926	.0041952	.557	0
1	16515805	.005014	.567	0
1	16516110	.0058638	.565	0
1	16516527	.0014348	.710	0
1	16516585	.0057423	.567	0
1	16516859	.0019775	.711	0
1	16517178	.0023332	.703	0
1	16517465	.0015865	.702	0
1	16517721	.0014451	.711	0
1	16518027	.0014239	.711	0
1	16518170	.0014088	.706	0
1	16518284	.0014786	.712	0
1	16518402	.0013998	.711	0
1	16518455	.001816	.709	0
1	16518512	.0018999	.645	0
1	16518583	.0024379	.712	0
1	16518716	.00093	.709	0
1	16518866	.0014191	.711	0
1	16519443	.0016982	.710	0
1	16520607	.0023402	.662	0
1	16521349	.0007358	.682	0
1	16521556	.0028309	.702	0
1	16521575	.0034561	.693	0
1	16521941	.0011335	.711	0
1	16521998	.0012265	.710	0
1	16522269	.0011475	.710	0
1	16522456	.0008116	.739	0
1	16522469	.001014	.740	0
1	16522975	.0011238	.736	0
1	16523713	.0017137	.737	0
1	16524653	.0010878	.736	0
1	16524869	.0010064	.736	0
1	16525056	.0010192	.736	0
1	16525549	.0010874	.737	0
1	16525887	.0010263	.736	0
1	16525966	.0011173	.736	0
1	16527321	.0016479	.732	0
1	16528233	.001661	.732	0
1	16528721	.0017075	.732	0
1	16528824	.0015846	.753	0
1	16529117	.0012048	.735	0
1	16529359	.0011224	.735	0
1	16529369	.0010603	.735	0
1	16529818	.0009941	.735	0
1	16529824	.0009907	.735	0
1	16530177	.0009195	.735	0
1	16530716	.0009143	.735	0
1	16530850	.0012441	.735	0
1	16532803	.0008101	.734	0
1	16532848	.0008093	.734	0
1	16533096	.0009862	.732	0
1	16533105	.0006251	.736	0
1	16533258	.0006325	.733	0
1	16533817	.0008406	.734	0
1	16534002	.0008915	.734	0
1	16534255	.0008803	.734	0
1	16534646	.0010775	.735	0
1	16534730	.0008881	.734	0
1	16534921	.0008472	.733	0
1	16536548	.0007573	.735	0
1	16549532	.0008325	.661	0
1	16556623	.0024084	.675	0
1	16561028	.00185	.667	0
1	16562968	.0017239	.670	0
1	16563635	.0019362	.668	0
1	16574316	.0069325	.706	0
1	16582686	.0047256	.691	0
1	16596558	.0071218	.692	0
1	16640072	.0082332	.710	0
1	16656518	.0080583	.950	0
1	16657636	.0093269	.707	0
1	16666956	.0073463	.702	0
1	16691022	.0024754	.745	0
1	16694774	.0018659	.743	0
1	16709434	.0034372	.702	0
1	16716374	.0020892	.706	0
1	16729588	.0007837	.741	0
1	16729987	.0077959	.541	0
1	16731510	.0008625	.742	0
1	16736546	.0030996	.627	0
1	16739391	.0015414	.616	0
1	16744915	.0012014	.919	0
1	16759616	.0089781	.737	0
1	16817143	.0095475	.024	0
1	17176390	.0076911	.255	0
1	17269727	.0022398	.402	0
1	17273493	.0013223	.402	0
1	17275895	.0083761	.268	0
1	17301780	.0076701	.525	0
1	17684834	.0079976	.025	0
1	17816510	.0010636	.609	0
1	17816599	.003622	.730	0
1	17817111	.0034231	.584	0
1	17817728	.0032887	.652	0
1	17817920	.0051017	.616	0
1	17818178	.0023523	.653	0
1	17818579	.0023166	.653	0
1	17818601	.0023166	.653	0
1	17819121	.0024089	.653	0
1	17820221	.0049431	.617	0
1	17820619	.0052801	.617	0
1	17820742	.0047008	.616	0
1	17821360	.0024295	.653	0
1	17821516	.0050738	.612	0
1	17821984	.0044623	.617	0
1	17822155	.0037817	.492	0
1	17823852	.0053507	.590	0
1	17826612	.0027506	.677	0
1	17826835	.0029655	.677	0
1	17829956	.007536	.713	0
1	17831346	.0086325	.714	0
1	17832325	.0092018	.658	0
1	18206412	.0033721	.979	0
1	18242874	.0036865	.965	0
1	18250952	.0093544	.026	0
1	18294352	.0063339	.732	0
1	18668108	.0032544	.936	0
1	18668944	.0024162	.972	0
1	18677410	.0056067	.936	0
1	18679844	.0088423	.889	0
1	18685202	.0058251	.747	0
1	18685668	.0068406	.747	0
1	18685857	.0003053	.891	0
1	18685865	.0037883	.905	0
1	18686169	.0067145	.748	0
1	18689077	.0043288	.972	0
1	18696019	.0096893	.738	0
1	18696272	.0092492	.738	0
1	18696347	.0058203	.722	0
1	18696899	.0091838	.738	0
1	18698947	.0031054	.609	0
1	18707467	.0081251	.707	0
1	18709067	.0046678	.742	0
1	18709132	.0069164	.793	0
1	18712328	.0035387	.741	0
1	18713457	.0050559	.746	0
1	18717704	.0066084	.741	0
1	18741534	.0084635	.968	0
1	18782081	.0079596	.981	0
1	18810778	.0053042	.989	0
1	19659231	.0055949	.974	0
1	19746375	.0031722	.974	0
1	19961198	.0076605	.956	0
1	19965927	.0099446	.956	0
1	19966510	.0093842	.957	0
1	20120248	.0036641	.057	0
1	20221625	.0047359	.936	0
1	20225392	.0068741	.935	0
1	20233086	.0030418	.936	0
1	20237348	.0037306	.936	0
1	20237760	.0035711	.936	0
1	20249777	.0022562	.884	0
1	20282584	.0077912	.913	0
1	20569145	.0047011	.834	0
1	20573806	.0082351	.827	0
1	20952518	.0010337	.055	0
1	21084804	.0087651	.976	0
1	21153664	.009077	.978	0
1	21264378	.0067594	.974	0
1	21264768	.0057798	.956	0
1	21274119	.0059965	.956	0
1	21275211	.0029253	.977	0
1	21281571	.0064799	.978	0
1	21285357	.0064584	.978	0
1	21312556	.0028408	.977	0
1	21315569	.0097154	.764	0
1	21323715	.0035398	.977	0
1	21324035	.0037739	.977	0
1	21396979	.0033393	.977	0
1	21452743	.0035009	.977	0
1	21457092	.0029179	.976	0
1	21492038	.0059569	.978	0
1	21571475	.0092763	.968	0
1	21683093	.007988	.972	0
1	21701770	.0081846	.904	0
1	21754005	.0059544	.911	0
1	21937317	.0087801	.942	0
1	21953040	.0065984	.922	0
1	21988976	.0018638	.893	0
1	21989973	.0017983	.894	0
1	21993170	.0037364	.866	0
1	21993600	.0029279	.866	0
1	22006467	.0047634	.992	0
1	22012159	.0046685	.928	0
1	22014549	.0046264	.927	0
1	22014700	.0047486	.925	0
1	22014745	.0047493	.925	0
1	22015687	.0056751	.925	0
1	22015710	.0049461	.921	0
1	22020194	.0056896	.927	0
1	22020567	.0022013	.917	0
1	22022317	.0061404	.925	0
1	22023151	.0026629	.881	0
1	22031514	.0020158	.917	0
1	22033152	.003768	.917	0
1	22033478	.0021185	.916	0
1	22036569	.0023576	.910	0
1	22044351	.003186	.917	0
1	22046112	.0026238	.911	0
1	22047124	.0020055	.910	0
1	22047212	.0020158	.910	0
1	22049667	.0089264	.647	0
1	22052231	.0012614	.915	0
1	22055855	.0012484	.915	0
1	22061921	.0016734	.910	0
1	22062280	.0019511	.910	0
1	22064227	.001296	.915	0
1	22065128	.003793	.640	0
1	22065325	.0025965	.914	0
1	22068992	.001067	.915	0
1	22069489	.001317	.915	0
1	22069792	.0014467	.915	0
1	22069946	.0012887	.915	0
1	22071040	.0018572	.910	0
1	22071460	.0013029	.915	0
1	22071565	.0013078	.915	0
1	22071623	.0018696	.910	0
1	22072324	.0012832	.915	0
1	22072659	.0013084	.915	0
1	22073112	.00132	.915	0
1	22074223	.0014465	.915	0
1	22075825	.0019613	.916	0
1	22076538	.001834	.916	0
1	22077515	.001431	.915	0
1	22077656	.0014404	.915	0
1	22077697	.0014477	.915	0
1	22078403	.001907	.916	0
1	22078410	.0010886	.917	0
1	22078667	.0015288	.915	0
1	22080212	.0014349	.915	0
1	22080509	.0014291	.915	0
1	22080594	.0014302	.915	0
